Year,fossil emissions excluding carbonation,land-use change emissions,atmospheric growth,ocean sink,land sink,cement carbonation sink,budget imbalance
1839,0.029927138,,0.3166884,0.136535,-0.15591162,,
1840,0.032425904,,0.3619296,0.132865,0.419337828,,
1841,0.033342125,,0.409932,0.13897,-0.109421435,,
1842,0.035313534,,0.4553856,0.140425,-0.055410019,,
1843,0.036127017,,0.4804488,0.14147,0.694460748,,
1844,0.038746301,,0.4802364,0.14274,0.443482462,,
1845,0.042323527,,0.4570848,0.14418,0.002709592,,
1846,0.043040881,,0.4222512,0.150135,0.649744965,,
1847,0.046614834,,0.3778596,0.15123,0.387018856,,
1848,0.047391779,,0.3234852,0.1572,0.316025199,,
1849,0.050504376,,0.2597652,0.15831,0.321388842,,
1850,0.05372478,0.740726667,0.1892484,0.164195,0.528177024,,-0.087168977
1851,0.054251787,0.76986,0.1255284,0.165485,-0.126643729,,0.659742116
1852,0.056658049,0.79622,0.0696672,0.171645,0.10364584,,0.507920009
1853,0.059289566,0.80116,0.0097704,0.172905,0.239709819,,0.438064347
1854,0.069606593,0.812106667,-0.0390816,0.17432,0.195157391,,0.551317469
1855,0.071031619,0.82637,-0.0635076,0.18083,-0.013567069,,0.793646288
1856,0.0759404,0.83075,-0.0632952,0.18227,0.352279577,,0.435436023
1857,0.076741552,0.8438,-0.0528876,0.18896,0.825090769,,-0.040621616
1858,0.077933511,0.84946,-0.0363204,0.19561,-0.006207174,,0.774311085
1859,0.082579739,0.86133,-0.013806,0.1976,-0.173223897,,0.933339636
1860,0.090692807,0.790386667,0.014868,0.19967,0.333961207,,0.332580267
1861,0.095302993,0.75508,0.050976,0.206965,-0.095493247,,0.68793524
1862,0.097159135,0.734786667,0.0947304,0.219015,-0.135667711,,0.653868113
1863,0.103584847,0.726753333,0.146556,0.22639,0.592493459,,-0.135101279
1864,0.111770039,0.733226667,0.20709,0.228825,0.403610618,,0.005471088
1865,0.118682129,0.711866667,0.2742084,0.236465,-0.094146604,,0.414022
1866,0.122561958,0.71533,0.3349548,0.244015,0.467121303,,-0.208199145
1867,0.131226503,0.702786667,0.3859308,0.25209,0.352933093,,-0.156940723
1868,0.134960024,0.69958,0.4275612,0.259695,0.283070087,,-0.135786263
1869,0.143212626,0.69759,0.4592088,0.26803,0.334800156,,-0.221236329
1870,0.146321855,0.794603333,0.4817232,0.271125,0.579467333,,-0.391390345
1871,0.15550671,0.81797,0.4957416,0.27913,-0.158304435,,0.356909545
1872,0.172205642,0.861846667,0.4974408,0.287825,0.171633951,,0.077152558
1873,0.182987776,0.87587,0.4866084,0.295945,0.235269812,,0.041034565
1874,0.171578121,0.903573333,0.463032,0.30465,0.256101339,,0.051368116
1875,0.185875541,0.90945,0.4313844,0.313115,0.132751762,,0.21807438
1876,0.188477763,0.92454,0.4105692,0.3218,0.419676373,,-0.03902781
1877,0.192148707,0.94887,0.4048344,0.33546,0.881231844,,-0.480507537
1878,0.193681637,0.963836667,0.4143924,0.34427,0.19858273,,0.200273174
1879,0.207367457,0.979423333,0.4381812,0.35277,0.030378965,,0.365460626
1880,0.234232477,0.98884,0.4685544,0.36152,0.578451802,,-0.185453725
1881,0.242405174,0.983476667,0.50445,0.370275,-0.015137022,,0.366293863
1882,0.256047514,1.00537,0.5456556,0.37901,0.055491989,,0.281259925
1883,0.272342382,1.021876667,0.5923836,0.38723,0.824778469,,-0.510173021
1884,0.275590052,1.02328,0.6473952,0.395745,0.535083284,,-0.279353432
1885,0.277699006,1.024873333,0.7198236,0.404035,0.167618631,,0.011095108
1886,0.281928861,1.023496667,0.7833312,0.40716,0.77797677,,-0.663042442
1887,0.295928843,1.039526667,0.8222004,0.415325,0.561313406,,-0.463383297
1888,0.327877093,1.037236667,0.8396172,0.418595,0.483197073,,-0.376295514
1889,0.32808338,1.04668,0.8532108,0.426245,0.611811733,,-0.516504153
1890,0.3567837,1.12346,0.8636184,0.433865,0.852099305,,-0.669339006
1891,0.373798694,1.147963333,0.8619192,0.43643,0.069450482,,0.153962345
1892,0.376783915,1.14129,0.84429,0.44394,0.461517163,,-0.231673248
1893,0.372046813,1.151443333,0.8128548,0.45139,0.569621215,,-0.31037587
1894,0.385433216,1.174596667,0.7735608,0.45927,0.524339222,,-0.19714014
1895,0.408287077,1.17087,0.7276824,0.46162,0.302294702,,0.087559975
1896,0.421793347,1.175016667,0.6650244,0.46931,0.72792717,,-0.265451556
1897,0.441704509,1.194173333,0.5906844,0.47716,1.13845549,,-0.570422048
1898,0.465875148,1.198486667,0.532062,0.479805,0.417484641,,0.235010174
1899,0.508849389,1.208246667,0.4965912,0.487715,0.217165534,,0.515624321
1900,0.535721558,1.21745,0.4825728,0.491055,0.760762016,,0.018781742
1901,0.552846117,1.251486667,0.4840596,0.499255,0.343609148,,0.477409035
1902,0.566854801,1.263033333,0.4989276,0.502425,0.072428435,,0.756107099
1903,0.618065461,1.27268,0.5259024,0.51101,1.107641989,,-0.253808928
1904,0.625069582,1.302376667,0.5645592,0.519745,0.87182511,,-0.028683061
1905,0.666094577,1.311106667,0.609588,0.52319,0.183634124,,0.660789119
1906,0.695681837,1.32956,0.6422976,0.531915,1.061227103,,-0.210197867
1907,0.792835501,1.33021,0.66906,0.540975,0.805209754,,0.107800748
1908,0.761570691,1.34316,0.6890256,0.549505,0.613843887,,0.252356203
1909,0.793425668,1.364543333,0.7007076,0.55817,0.803487048,,0.095604353
1910,0.832498082,1.30954,0.7079292,0.56192,1.008629255,,-0.136440373
1911,0.845307682,1.30066,0.725346,0.570295,0.212538351,,0.637788332
1912,0.888081,1.273826667,0.7559316,0.57396,0.410722985,,0.421293082
1913,0.962021264,1.26099,0.7892784,0.582225,0.572383908,,0.279123957
1914,0.872748346,1.26275,0.8151912,0.58512,0.657429077,,0.077758069
1915,0.859178679,1.242723333,0.8360064,0.593875,0.349523671,,0.322496941
1916,0.928010943,1.23945,0.8476884,0.596995,0.825182093,,-0.102404551
1917,0.970660071,1.21704,0.848538,0.6049,1.430174195,,-0.695912124
1918,0.956900865,1.20546,0.8360064,0.612745,0.503997385,,0.209612079
1919,0.829998111,1.196843333,0.8096688,0.61601,0.216276561,,0.384886083
1920,0.968001576,1.303693333,0.7756848,0.62373,0.993713157,,-0.121433048
1921,0.850162088,1.360703333,0.7493472,0.63178,0.841920689,,-0.012182468
1922,0.891025353,1.380073333,0.7329924,0.634325,0.636067358,,0.267713928
1923,1.01064294,1.410523333,0.7270452,0.642225,0.805811982,,0.246084091
1924,1.014231079,1.395716667,0.728532,0.644645,0.237471537,,0.799299208
1925,1.020915093,1.432546667,0.7334172,0.65195,0.502879412,,0.565215147
1926,1.003659066,1.43729,0.7459488,0.654085,0.536955569,,0.503959696
1927,1.095236555,1.438653333,0.7618788,0.655995,0.700966505,,0.415049583
1928,1.090696102,1.453786667,0.7799328,0.662745,0.139878947,,0.961926021
1929,1.17036302,1.46901,0.7909776,0.66403,0.297783612,,0.886581808
1930,1.080265954,1.484186667,0.7920396,0.665485,0.652257438,,0.454670583
1931,0.965971281,1.507726667,0.7914024,0.666855,0.266262963,0.002164691,0.747012894
1932,0.871340058,1.518923333,0.790128,0.67242,0.551700756,0.001965502,0.374049133
1933,0.917762574,1.506796667,0.7875792,0.67314,0.586726681,0.001999568,0.375113792
1934,0.997867254,1.521406667,0.7835436,0.673565,0.76751153,0.002353761,0.29230003
1935,1.046872467,1.504236667,0.7750476,0.673935,0.393635512,0.002655342,0.70583568
1936,1.148452148,1.540623333,0.7591176,0.673925,0.394379243,0.003049549,0.85860409
1937,1.227268915,1.535463333,0.739152,0.673775,0.492608197,0.00336006,0.853836991
1938,1.154371432,1.546356667,0.7145136,0.673425,0.555248725,0.003536784,0.754003991
1939,1.220014305,1.5381,0.672246,0.673255,1.067662964,0.003725435,0.341224906
1940,1.333149963,1.567523333,0.6072516,0.673305,0.43450897,0.003593063,1.182014663
1941,1.364380546,1.607846667,0.523566,0.66803,0.490544472,0.003841985,1.286244756
1942,1.35985895,1.61171,0.43011,0.66835,0.863268592,0.003660943,1.006179415
1943,1.38517281,1.608706667,0.33453,0.668845,0.974071712,0.003505154,1.012927611
1944,1.408975379,1.590083333,0.2597652,0.66985,0.309753137,0.002859177,1.756831198
1945,1.17066363,1.60027,0.214524,0.671235,0.687226704,0.002609825,1.195338101
1946,1.257790819,1.590506667,0.2036916,0.678325,0.627853428,0.003276653,1.335150806
1947,1.409717184,1.57703,0.2153736,0.681085,0.824078182,0.003750799,1.262459603
1948,1.486867549,1.562433333,0.2504196,0.68902,0.708113069,0.004390901,1.397357312
1949,1.420314657,1.551123333,0.3035196,0.69308,0.367206479,0.00500761,1.602624302
1950,1.618560487,1.816056667,0.3627792,0.702545,1.685921199,0.005726181,0.677645574
1951,1.741716902,1.96434,0.4192776,0.71233,0.758109429,0.006540575,1.809799298
1952,1.765201945,1.979043333,0.4804488,0.7284,-0.026231457,0.007144251,2.554483684
1953,1.815239884,2.01518,0.5484168,0.74464,0.481147064,0.007834298,2.048381722
1954,1.853093356,2.130686667,0.6231816,0.756845,0.929300436,0.008566059,1.665886928
1955,2.03168735,2.181786667,0.7004952,0.76967,1.449876686,0.009436969,1.283995162
1956,2.163284667,2.199953333,0.7758972,0.78329,1.931050971,0.010285718,0.862714112
1957,2.234163841,2.259866667,0.8714772,0.792965,0.473607291,0.010947968,2.345033048
1958,2.297357282,2.241383333,1.7400973,0.807815,0.159975616,0.012080806,1.818771894
1959,2.416788245,2.37248,2.03904,1.115080703,0.45334483,0.013422795,1.168379918
1960,2.561940878,2.07712,1.50804,1.083686022,0.733534084,0.014642637,1.299158135
1961,2.569593474,2.082466667,1.65672,1.024928702,0.682194718,0.01561536,1.272601362
1962,2.660273139,1.948253333,1.18944,1.069268345,1.133209243,0.01674701,1.199861875
1963,2.80206814,1.897743333,1.21068,1.266523158,0.773127183,0.017818609,1.431662523
1964,2.954276652,1.817663333,1.04076,1.366217676,0.986012346,0.01948775,1.359462213
1965,3.086954934,1.742746667,2.3364,1.455624485,0.349777999,0.020532104,0.667367013
1966,3.237616054,1.61494,2.3364,1.375644302,1.129989585,0.022035198,-0.011513031
1967,3.33989376,1.70593,1.29564,1.221066718,1.335757919,0.023113855,1.170245268
1968,3.522181676,1.726836667,2.10276,1.357795389,1.602117039,0.024712219,0.161633695
1969,3.755949069,1.894253333,2.80368,1.469982452,0.587492738,0.026169346,0.762877866
1970,4.066358737,1.825783333,2.40012,1.347390717,0.730587062,0.027733453,1.386310838
1971,4.231403836,1.6756,1.55052,1.436175164,1.652070056,0.029442299,1.238796316
1972,4.428106049,1.75712,3.12228,1.643025742,0.808476158,0.0312159,0.58022825
1973,4.660831344,1.70695,3.10104,1.593491798,1.144140046,0.033593512,0.495515989
1974,4.639168013,1.72298,1.44432,1.534986342,2.945270203,0.034312049,0.40325942
1975,4.636592999,1.67126,2.61252,1.522885861,2.094590034,0.034625223,0.04323188
1976,4.875134201,1.654006667,2.06028,1.641696961,2.165962371,0.03699347,0.624208065
1977,5.010381734,1.806793333,4.07808,1.710687132,1.144820893,0.038822476,-0.155235434
1978,5.192342066,1.791456667,2.73996,1.703862516,2.112148147,0.04136374,0.38646433
1979,5.324396964,1.598206667,4.54536,1.656113848,1.083590748,0.042667138,-0.405128103
1980,5.297432596,1.637913333,3.56832,2.011937266,0.248003946,0.043716565,1.063368152
1981,5.15277201,1.592953333,2.4426,1.94005851,1.614479234,0.044374974,0.704212625
1982,5.11182925,1.509703333,2.10276,2.026563587,1.327218629,0.044910709,1.120079658
1983,5.158781398,1.593846667,3.90816,2.213703211,0.208065986,0.046106053,0.376592815
1984,5.310384756,1.753493333,2.61252,2.083126255,1.88332051,0.047416243,0.437495082
1985,5.498052123,1.85255,3.5046,2.028069593,2.040222386,0.048517518,-0.270807374
1986,5.578069006,1.89501,2.16648,2.045906718,1.953146156,0.050302549,1.257243582
1987,5.760423106,1.773456667,5.6286,2.110234116,0.609053027,0.05235096,-0.86635833
1988,5.982193225,1.680316667,4.60908,2.070966064,1.360334665,0.054950758,-0.432821595
1989,6.059009943,1.63232,3.10104,2.116220997,2.686309467,0.056775603,-0.269016124
1990,6.204187685,1.590903333,2.59128,2.203341563,1.847661354,0.057645124,1.095162978
1991,6.333403645,1.561216667,1.593,2.356292472,1.762309193,0.059286251,2.123732397
1992,6.146403948,1.628793333,1.52928,2.495611634,1.682892472,0.061980431,2.005432744
1993,6.209026223,1.564763333,2.61252,2.447031214,2.234369137,0.064762512,0.415106693
1994,6.270359809,1.820116667,3.52584,2.295268305,1.244233343,0.068138602,0.956996225
1995,6.418296368,1.71345,4.248,2.282717713,1.497488381,0.071323599,0.032216674
1996,6.613940156,1.785433333,2.2302,2.273318511,2.502325775,0.074291646,1.319237556
1997,6.65401783,2.18876,4.18428,2.381958533,2.546492838,0.077053152,-0.347006694
1998,6.630926037,1.853776667,6.03216,2.441607734,1.38560008,0.078040185,-1.452705295
1999,6.778867541,1.7909,2.84616,2.234259469,2.840292868,0.080723031,0.568332174
2000,6.962741123,1.677336667,2.655,2.191147864,2.72018346,0.083438738,0.990307727
2001,7.012279912,1.490366667,3.9294,2.101607613,2.015311187,0.086315711,0.370012066
2002,7.168485683,1.663126667,5.01264,2.489964781,1.083269995,0.090883604,0.15485397
2003,7.547131682,1.998146667,4.86396,2.591541568,1.987799384,0.097629224,0.004348172
2004,7.808412661,1.758696667,3.31344,2.574723957,2.517453213,0.10410281,1.057389348
2005,8.07831617,1.618753333,5.24628,2.623333576,1.585632597,0.111207969,0.130615361
2006,8.349932234,1.646763333,3.78072,2.721171719,2.537753498,0.120674473,0.836375878
2007,8.596958385,1.52653,4.52412,2.696466918,2.352302863,0.129992477,0.420606127
2008,8.747178026,1.624186667,3.75948,2.714926927,2.615812519,0.135391435,1.145753812
2009,8.600713314,1.78352,3.35592,2.833799912,2.377058596,0.142564446,1.67489036
2010,9.093251466,1.778883333,5.01264,2.833185889,2.676667893,0.152219571,0.197421447
2011,9.41047748,1.744693333,3.69576,2.867197749,3.292777326,0.163509472,1.135926267
2012,9.540047822,1.823723333,5.11884,2.906324615,1.845644691,0.171370723,1.321591126
2013,9.627680043,1.72476,5.2038,2.95490456,2.715135702,0.18121332,0.297386462
2014,9.679501611,1.74943,4.31172,3.082053689,3.038600753,0.187245879,0.80931129
2015,9.662534802,1.777463333,6.2658,3.16826797,1.775284926,0.189520789,0.04112445
2016,9.659615273,1.4674,6.03216,3.287601533,1.983745007,0.192173709,-0.368664977
2017,9.818397903,1.448626667,4.54536,3.123325248,2.849579033,0.19518034,0.553579948
2018,10.02565582,1.33243,5.07636,3.214723372,2.878235982,0.199661237,-0.010894769
2019,10.12187955,1.333836667,5.31,3.242252243,2.383930177,0.209573859,0.309959942
2020,9.595586744,1.23268,4.94892,3.243302059,2.100974421,0.21364825,0.321422014
2021,10.06191697,1.271043333,5.03388,3.14461484,2.595629562,0.224417152,0.334418752
2022,10.24229576,1.306056667,4.86396,3.120450881,3.106184241,0.220895925,0.236861384
2023,10.39684612,1.295183333,5.7348,3.275431282,2.016704669,0.227370673,0.437722826
2024,10.53454641,1.251503333,7.92252,3.388947317,1.94215498,0.224290503,-1.69186306
